DATE,A794RX0Q048SBEA
1947-01-01,8924.0
1947-04-01,9032.0
1947-07-01,9020.0
1947-10-01,8981.0
1948-01-01,8989.0
1948-04-01,9058.0
1948-07-01,9032.0
1948-10-01,9062.0
1949-01-01,9037.0
1949-04-01,9139.0
1949-07-01,9121.0
1949-10-01,9212.0
1950-01-01,9327.0
1950-04-01,9448.0
1950-07-01,9890.0
1950-10-01,9549.0
1951-01-01,9739.0
1951-04-01,9426.0
1951-07-01,9493.0
1951-10-01,9503.0
1952-01-01,9486.0
1952-04-01,9634.0
1952-07-01,9639.0
1952-10-01,9933.0
1953-01-01,10013.0
1953-04-01,10036.0
1953-07-01,9966.0
1953-10-01,9853.0
1954-01-01,9847.0
1954-04-01,9935.0
1954-07-01,10023.0
1954-10-01,10184.0
1955-01-01,10369.0
1955-04-01,10525.0
1955-07-01,10607.0
1955-10-01,10688.0
1956-01-01,10662.0
1956-04-01,10654.0
1956-07-01,10628.0
1956-10-01,10721.0
1957-01-01,10748.0
1957-04-01,10723.0
1957-07-01,10759.0
1957-10-01,10715.0
1958-01-01,10527.0
1958-04-01,10573.0
1958-07-01,10702.0
1958-10-01,10798.0
1959-01-01,10949.0
1959-04-01,11075.0
1959-07-01,11143.0
1959-10-01,11106.0
1960-01-01,11147.0
1960-04-01,11220.0
1960-07-01,11119.0
1960-10-01,11090.0
1961-01-01,11048.0
1961-04-01,11170.0
1961-07-01,11177.0
1961-10-01,11353.0
1962-01-01,11433.0
1962-04-01,11533.0
1962-07-01,11581.0
1962-10-01,11698.0
1963-01-01,11741.0
1963-04-01,11814.0
1963-07-01,11928.0
1963-10-01,11981.0
1964-01-01,12179.0
1964-04-01,12355.0
1964-07-01,12537.0
1964-10-01,12529.0
1965-01-01,12773.0
1965-04-01,12879.0
1965-07-01,13056.0
1965-10-01,13380.0
1966-01-01,13544.0
1966-04-01,13543.0
1966-07-01,13656.0
1966-10-01,13671.0
1967-01-01,13716.0
1967-04-01,13869.0
1967-07-01,13901.0
1967-10-01,13947.0
1968-01-01,14251.0
1968-04-01,14435.0
1968-07-01,14666.0
1968-10-01,14692.0
1969-01-01,14825.0
1969-04-01,14886.0
1969-07-01,14917.0
1969-10-01,14992.0
1970-01-01,15048.0
1970-04-01,15069.0
1970-07-01,15150.0
1970-10-01,15056.0
1971-01-01,15298.0
1971-04-01,15394.0
1971-07-01,15470.0
1971-10-01,15678.0
1972-01-01,15847.0
1972-04-01,16110.0
1972-07-01,16316.0
1972-10-01,16655.0
1973-01-01,16923.0
1973-04-01,16877.0
1973-07-01,16895.0
1973-10-01,16803.0
1974-01-01,16619.0
1974-04-01,16643.0
1974-07-01,16672.0
1974-10-01,16386.0
1975-01-01,16490.0
1975-04-01,16721.0
1975-07-01,16909.0
1975-10-01,17046.0
1976-01-01,17350.0
1976-04-01,17472.0
1976-07-01,17611.0
1976-10-01,17792.0
1977-01-01,17960.0
1977-04-01,18014.0
1977-07-01,18134.0
1977-10-01,18354.0
1978-01-01,18414.0
1978-04-01,18760.0
1978-07-01,18784.0
1978-10-01,18880.0
1979-01-01,18930.0
1979-04-01,18868.0
1979-07-01,18994.0
1979-10-01,18983.0
1980-01-01,18902.0
1980-04-01,18425.0
1980-07-01,18572.0
1980-10-01,18772.0
1981-01-01,18796.0
1981-04-01,18755.0
1981-07-01,18791.0
1981-10-01,18613.0
1982-01-01,18711.0
1982-04-01,18726.0
1982-07-01,18804.0
1982-10-01,19086.0
1983-01-01,19236.0
1983-04-01,19587.0
1983-07-01,19889.0
1983-10-01,20159.0
1984-01-01,20287.0
1984-04-01,20530.0
1984-07-01,20632.0
1984-10-01,20848.0
1985-01-01,21163.0
1985-04-01,21313.0
1985-07-01,21662.0
1985-10-01,21654.0
1986-01-01,21800.0
1986-04-01,21991.0
1986-07-01,22325.0
1986-10-01,22408.0
1987-01-01,22387.0
1987-04-01,22645.0
1987-07-01,22847.0
1987-10-01,22839.0
1988-01-01,23196.0
1988-04-01,23319.0
1988-07-01,23465.0
1988-10-01,23672.0
1989-01-01,23734.0
1989-04-01,23791.0
1989-07-01,23956.0
1989-10-01,23994.0
1990-01-01,24142.0
1990-04-01,24140.0
1990-07-01,24150.0
1990-10-01,23882.0
1991-01-01,23719.0
1991-04-01,23839.0
1991-07-01,23873.0
1991-10-01,23780.0
1992-01-01,24154.0
1992-04-01,24237.0
1992-07-01,24407.0
1992-10-01,24612.0
1993-01-01,24634.0
1993-04-01,24783.0
1993-07-01,24973.0
1993-10-01,25112.0
1994-01-01,25331.0
1994-04-01,25454.0
1994-07-01,25565.0
1994-10-01,25763.0
1995-01-01,25758.0
1995-04-01,25910.0
1995-07-01,26061.0
1995-10-01,26162.0
1996-01-01,26338.0
1996-04-01,26546.0
1996-07-01,26620.0
1996-10-01,26746.0
1997-01-01,26957.0
1997-04-01,27001.0
1997-07-01,27370.0
1997-10-01,27611.0
1998-01-01,27819.0
1998-04-01,28231.0
1998-07-01,28510.0
1998-10-01,28835.0
1999-01-01,29058.0
1999-04-01,29422.0
1999-07-01,29658.0
1999-10-01,30002.0
2000-01-01,30379.0
2000-04-01,30586.0
2000-07-01,30796.0
2000-10-01,30983.0
2001-01-01,31024.0
2001-04-01,31013.0
2001-07-01,31040.0
2001-10-01,31461.0
2002-01-01,31462.0
2002-04-01,31551.0
2002-07-01,31691.0
2002-10-01,31790.0
2003-01-01,31880.0
2003-04-01,32174.0
2003-07-01,32548.0
2003-10-01,32694.0
2004-01-01,32934.0
2004-04-01,33042.0
2004-07-01,33347.0
2004-10-01,33641.0
2005-01-01,33783.0
2005-04-01,34084.0
2005-07-01,34280.0
2005-10-01,34257.0
2006-01-01,34555.0
2006-04-01,34656.0
2006-07-01,34788.0
2006-10-01,35030.0
2007-01-01,35169.0
2007-04-01,35182.0
2007-07-01,35325.0
2007-10-01,35375.0
2008-01-01,35249.0
2008-04-01,35269.0
2008-07-01,34912.0
2008-10-01,34517.0
2009-01-01,34359.0
2009-04-01,34120.0
2009-07-01,34271.0
2009-10-01,34154.0
2010-01-01,34283.0
2010-04-01,34528.0
2010-07-01,34707.0
2010-10-01,34851.0
2011-01-01,34928.0
2011-04-01,34907.0
2011-07-01,34945.0
2011-10-01,34939.0
2012-01-01,35135.0
2012-04-01,35140.0
2012-07-01,35144.0
2012-10-01,35217.0
2013-01-01,35354.0
2013-04-01,35354.0
2013-07-01,35419.0
2013-10-01,35633.0
2014-01-01,35711.0
2014-04-01,35983.0
2014-07-01,36265.0
2014-10-01,36597.0
2015-01-01,36784.0
2015-04-01,36973.0
2015-07-01,37182.0
2015-10-01,37296.0
